experiment,model,n,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,average_precision
fold_1,indobert,2925,0.890940170940171,0.886861958426914,0.8905092390150049,0.8884619251215314,0.9621290242596823,0.9460405003248779
fold_1,indobertweet,2925,0.8697435897435898,0.865204991087344,0.8691857922814558,0.8668936574172336,0.9402753204367377,0.9178671269965635
fold_1,mbert,2925,0.8413675213675214,0.8403670715968694,0.8315269674291925,0.8349908814589666,0.9196231642821514,0.8904484824877582
fold_1,transcript,2925,0.8594871794871795,0.855464216495172,0.8558707412451119,0.8556647943840887,0.9364121560777026,0.9116306975724475
fold_1,visual,2925,0.5900854700854701,0.6523624323330004,0.511144288552117,0.3987656702025072,0.5104749200650051,0.43234897543103956
fold_1,text_mean,2925,0.8940170940170941,0.8896804764493182,0.8961563448732525,0.8920686818131176,0.9612888298593123,0.9434108240829656
fold_1,text_lr,2925,0.895042735042735,0.8907180874442451,0.8972682750090579,0.8931231649373284,0.9631172197325795,0.9462350054354175
fold_1,text_speech_lr,2925,0.895042735042735,0.8908798261855927,0.8954192226483928,0.8927899726941113,0.9632532077310378,0.9459511612107576
fold_1,text_visual_lr,2925,0.895042735042735,0.8907180874442451,0.8972682750090579,0.8931231649373284,0.9631335575133129,0.9462611197689439
fold_1,speech_visual_lr,2925,0.8594871794871795,0.8554196347697929,0.8559863070176534,0.8556977122294231,0.9364128768621467,0.9116394308432771
fold_1,full_lr,2925,0.895042735042735,0.8908798261855927,0.8954192226483928,0.8927899726941113,0.9632152464169804,0.9459049040735458
fold_1,text_mlp_seed42,2925,0.8933333333333333,0.8890241903157241,0.8945290538598969,0.8912061784781358,0.9630232774933616,0.9460540214983799
fold_1,full_mlp_seed42,2925,0.8919658119658119,0.8878361526783778,0.8918523006958934,0.8895680981196349,0.9634252349517027,0.9457082804211349
fold_1,text_mlp_seed43,2925,0.8957264957264958,0.8914552624994314,0.8969309478892068,0.8936366806656314,0.963393520436161,0.9462286013271917
fold_1,full_mlp_seed43,2925,0.895042735042735,0.8908585331942995,0.8955347884209343,0.8928116257503247,0.9634281180894793,0.9462336406077501
fold_1,text_mlp_seed44,2925,0.8947008547008547,0.8904649214282122,0.8954723204357766,0.8925162997259756,0.963060037500012,0.9456237254956517
