experiment,seed,mean_weight_text_mean,mean_weight_transcript,mean_weight_visual,test_audio_available,test_visual_available
fold_1,42,0.969548846640299,0.014048566426944416,0.016402586932755862,103,132
fold_1,43,0.9700933573451228,0.013801970161028536,0.01610467249384857,103,132
fold_1,44,0.969624181952806,0.014092512865447751,0.0162833051817454,103,132
fold_2,42,0.9845813638239926,0.008063209340282457,0.007355426835725679,95,131
fold_2,43,0.9845007915380442,0.00906151121413102,0.006437697247823543,95,131
fold_2,44,0.9845710293208613,0.008070721944235004,0.007358248734903589,95,131
fold_3,42,0.9922487734390207,0.006629186020229399,0.0011220405407497231,83,43
fold_3,43,0.9915591836154289,0.007306772191929188,0.0011340441926420064,83,43
fold_3,44,0.9918493509882941,0.007070043899416235,0.0010806051122902378,83,43
fold_4,42,0.9839110352454216,0.00672821360909976,0.009360751145479592,70,132
fold_4,43,0.9865179094510294,0.005669524349137581,0.00781256619983277,70,132
fold_4,44,0.9841092277923149,0.0065570335719786245,0.009333738635706504,70,132
fold_5,42,0.9824950804843217,0.009444240382463477,0.008060679133214604,99,127
fold_5,43,0.9824083454663802,0.009445386390971545,0.008146268142648684,99,127
fold_5,44,0.9815922640079164,0.009549011918518863,0.008858724073564236,99,127
