experiment,seed,n,accuracy,macro_f1,roc_auc,average_precision
fold_1,42,2598,0.8852963818321786,0.8762619869581895,0.9535702687009779,0.9057855580603307
fold_2,42,2798,0.8906361686919227,0.874840368800696,0.9584189943089964,0.9140270215745364
fold_3,42,2960,0.8983108108108108,0.8850607779709285,0.9595842428852587,0.9197474976967291
fold_4,42,2296,0.8819686411149826,0.8774898870718926,0.9512930674400009,0.92671291459386
fold_5,42,2655,0.8817325800376647,0.8739679116833546,0.9522209293986432,0.9075547456171849
fold_1,43,2598,0.8849114703618168,0.875818873148698,0.9535965122344072,0.9059113229127476
fold_2,43,2798,0.8899213724088635,0.8739489947618677,0.9582770696470456,0.9140828440208838
fold_3,43,2960,0.8983108108108108,0.8850607779709285,0.9595691953896549,0.9196184690862035
fold_4,43,2296,0.8815331010452961,0.8771434079704756,0.9513495558499319,0.9268711305113034
fold_5,43,2655,0.8821092278719397,0.8743942959413464,0.9522227841402283,0.9075849609589255
fold_1,44,2598,0.8845265588914549,0.8754315304948217,0.9536135705311364,0.9059244016036527
fold_2,44,2798,0.8906361686919227,0.874840368800696,0.9584289231948118,0.9140422859080397
fold_3,44,2960,0.8983108108108108,0.8850607779709285,0.9595806107311474,0.91969161120532
fold_4,44,2296,0.8815331010452961,0.8770590491069283,0.9512938630514085,0.9267093778835841
fold_5,44,2655,0.8824858757062147,0.8748204726465596,0.9521906352860877,0.9072653726431358
