subset,model,n,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,average_precision
all_clean,indobert,15044,0.8958388726402553,0.8926238559786167,0.8945350237821591,0.8935180253571207,0.9579526746997781,0.9416517466827732
all_clean,indobertweet,15044,0.8723078968359479,0.8688122177151278,0.8698893498684631,0.869330183400369,0.9426583878355296,0.921045655414377
all_clean,mbert,15044,0.8443897899494816,0.8409071106689125,0.839602229286136,0.8402245657129479,0.9197138149494279,0.8961639960633555
all_clean,transcript,15044,0.8606088806168573,0.8574704881431254,0.8564574685438089,0.856946841472541,0.9386226143328935,0.917624369855491
all_clean,visual,15044,0.5860143578835416,0.6439589665054174,0.5115712236807884,0.3989976104111072,0.5125610035986182,0.43850817241622836
all_clean,text_mean,15044,0.8971018346184525,0.8936001442706984,0.8967095781407473,0.8949807516445074,0.961625347770119,0.9456443483421285
all_clean,text_lr,15044,0.8990959851103429,0.8957916230269423,0.8982654226938052,0.8969235946690277,0.9643022002674444,0.9504763165098455
all_clean,text_speech_lr,15044,0.8986971550119649,0.8953179357630416,0.898047578736046,0.896552737941432,0.964159081116182,0.9502400484331386
all_clean,text_visual_lr,15044,0.899162456793406,0.8958554325212928,0.898344150453213,0.8969935277938448,0.9643190090470902,0.9505125206623024
all_clean,speech_visual_lr,15044,0.8604094655676682,0.857185950542464,0.8564121772146016,0.8567889345122839,0.9386555888839121,0.9179275734786039
all_clean,full_lr,15044,0.8985642116458389,0.8951612002533058,0.8979749640834598,0.8964291099713928,0.9641617437138199,0.9502401713352278
all_clean,text_mlp_seed42,15044,0.898896570061154,0.8954958731638574,0.8983261824473847,0.896770475572221,0.9643426011111945,0.9504717282537498
all_clean,full_mlp_seed42,15044,0.9004918904546663,0.8976543742486833,0.8986885130810434,0.8981546510406107,0.9641748121777362,0.950253664445605
all_clean,text_mlp_seed43,15044,0.899428343525658,0.8957810192215653,0.8998044131849444,0.8974855865388776,0.9645702260398679,0.950568057732471
all_clean,full_mlp_seed43,15044,0.898896570061154,0.8954028435065281,0.8986231254791883,0.896826386326768,0.9642765252187935,0.949880279306689
all_clean,text_mlp_seed44,15044,0.8996277585748471,0.8963489938419724,0.8987679834697244,0.8974587228345811,0.9642348745843154,0.949863234206704
all_clean,full_mlp_seed44,15044,0.9007577771869184,0.8978526658265631,0.8991094752014621,0.8984559959391968,0.9637280391618483,0.949710943273111
all_clean,tfidf_lr,15044,0.8212576442435523,0.8177673375061876,0.8144108315341327,0.8158887877384247,0.9014343395362259,0.871626728889574
all_clean,feature_concat_seed42,15044,0.8985642116458389,0.8953472125947312,0.8974659188860822,0.8963310498520385,0.9612198721869815,0.9471044302366658
