model,class,precision,recall,f1-score,support
indobert,Non-bullying,0.9156556229584695,0.9029103876682388,0.9092383434694469,8693.0
indobert,Bullying,0.869592088998764,0.8861596598960794,0.8777977072447946,6351.0
indobert,macro avg,0.8926238559786167,0.8945350237821591,0.8935180253571207,15044.0
indobertweet,Non-bullying,0.8927163071213176,0.8854250546416657,0.8890557320242565,8693.0
indobertweet,Bullying,0.844908128308938,0.8543536450952606,0.8496046347764816,6351.0
indobertweet,macro avg,0.8688122177151278,0.8698893498684631,0.869330183400369,15044.0
mbert,Non-bullying,0.8617312072892939,0.8703554584148165,0.8660218623018371,8693.0
mbert,Bullying,0.8200830140485313,0.8088490001574555,0.8144272691240586,6351.0
mbert,macro avg,0.8409071106689125,0.839602229286136,0.8402245657129479,15044.0
transcript,Non-bullying,0.8765699931491208,0.8831243529276429,0.8798349664775658,8693.0
transcript,Bullying,0.8383709831371301,0.8297905841599748,0.8340587164675161,6351.0
transcript,macro avg,0.8574704881431254,0.8564574685438089,0.856946841472541,15044.0
visual,Non-bullying,0.5835989961337584,0.9897618773725987,0.7342549923195084,8693.0
visual,Bullying,0.7043189368770764,0.033380569988978114,0.06374022850270596,6351.0
visual,macro avg,0.6439589665054174,0.5115712236807884,0.3989976104111072,15044.0
text_mean,Non-bullying,0.9208387324773236,0.8992292649258024,0.9099057152834361,8693.0
text_mean,Bullying,0.8663615560640733,0.894189891355692,0.8800557880055788,6351.0
text_mean,macro avg,0.8936001442706984,0.8967095781407473,0.8949807516445074,15044.0
text_lr,Non-bullying,0.9203280609256005,0.9036005981824456,0.9118876247968424,8693.0
text_lr,Bullying,0.8712551851282839,0.8929302472051646,0.881959564541213,6351.0
text_lr,macro avg,0.8957916230269423,0.8982654226938052,0.8969235946690277,15044.0
text_speech_lr,Non-bullying,0.9208641540448514,0.902220177154032,0.9114468332364905,8693.0
text_speech_lr,Bullying,0.8697717174812318,0.8938749803180601,0.8816586426463736,6351.0
text_speech_lr,macro avg,0.8953179357630416,0.898047578736046,0.896552737941432,15044.0
text_visual_lr,Non-bullying,0.9204359034450433,0.9036005981824456,0.9119405584257271,8693.0
text_visual_lr,Bullying,0.8712749615975423,0.8930877027239805,0.8820464971619625,6351.0
text_visual_lr,macro avg,0.8958554325212928,0.898344150453213,0.8969935277938448,15044.0
speech_visual_lr,Non-bullying,0.8770444927370468,0.8820890371563327,0.8795595320027529,8693.0
speech_visual_lr,Bullying,0.8373274083478813,0.8307353172728704,0.8340183370218147,6351.0
speech_visual_lr,macro avg,0.857185950542464,0.8564121772146016,0.8567889345122839,15044.0
full_lr,Non-bullying,0.9210433556573846,0.9017600368112274,0.9112996977447105,8693.0
full_lr,Bullying,0.869279044849227,0.894189891355692,0.8815585221980752,6351.0
full_lr,macro avg,0.8951612002533058,0.8979749640834598,0.8964291099713928,15044.0
text_mlp_seed42,Non-bullying,0.9213866039952997,0.9019901069826297,0.9115851886298901,8693.0
text_mlp_seed42,Bullying,0.869605142332415,0.8946622579121398,0.8819557625145518,6351.0
text_mlp_seed42,macro avg,0.8954958731638574,0.8983261824473847,0.896770475572221,15044.0
full_mlp_seed42,Non-bullying,0.916917728852839,0.9102726331531117,0.9135830976158864,8693.0
full_mlp_seed42,Bullying,0.8783910196445276,0.8871043930089749,0.8827262044653349,6351.0
full_mlp_seed42,macro avg,0.8976543742486833,0.8986885130810434,0.8981546510406107,15044.0
text_mlp_seed43,Non-bullying,0.9262645452386606,0.8973887035545841,0.9115980134385042,8693.0
text_mlp_seed43,Bullying,0.8652974932044699,0.9022201228153047,0.8833731596392508,6351.0
text_mlp_seed43,macro avg,0.8957810192215653,0.8998044131849444,0.8974855865388776,15044.0
full_mlp_seed43,Non-bullying,0.9227776467814195,0.9003796157828138,0.9114410480349345,8693.0
full_mlp_seed43,Bullying,0.8680280402316367,0.8968666351755629,0.8822117246186014,6351.0
full_mlp_seed43,macro avg,0.8954028435065281,0.8986231254791883,0.896826386326768,15044.0
text_mlp_seed44,Non-bullying,0.9205996018269118,0.9042908086966525,0.912372330547818,8693.0
text_mlp_seed44,Bullying,0.872098385857033,0.8932451582427964,0.8825451151213441,6351.0
text_mlp_seed44,macro avg,0.8963489938419724,0.8987679834697244,0.8974587228345811,15044.0
full_mlp_seed44,Non-bullying,0.9178272980501393,0.909697457724606,0.9137442948754982,8693.0
full_mlp_seed44,Bullying,0.8778780336029869,0.8885214926783184,0.8831676970028953,6351.0
full_mlp_seed44,macro avg,0.8978526658265631,0.8991094752014621,0.8984559959391968,15044.0
tfidf_lr,Non-bullying,0.8365470852017938,0.8583918095018981,0.8473286776812582,8693.0
tfidf_lr,Bullying,0.7989875898105813,0.7704298535663675,0.7844488977955911,6351.0
tfidf_lr,macro avg,0.8177673375061876,0.8144108315341327,0.8158887877384247,15044.0
feature_concat_seed42,Non-bullying,0.9186820890290922,0.9045208788680548,0.911546487363784,8693.0
feature_concat_seed42,Bullying,0.8720123361603701,0.8904109589041096,0.8811156123402929,6351.0
feature_concat_seed42,macro avg,0.8953472125947312,0.8974659188860822,0.8963310498520385,15044.0
feature_concat_seed43,Non-bullying,0.9147904399030136,0.9114229840101231,0.9131036072375245,8693.0
feature_concat_seed43,Bullying,0.8793670687764374,0.8837978271138404,0.8815768807915816,6351.0
feature_concat_seed43,macro avg,0.8970787543397255,0.8976104055619818,0.897340244014553,15044.0
feature_concat_seed44,Non-bullying,0.9175510204081633,0.9050960542965605,0.9112809821635395,8693.0
feature_concat_seed44,Bullying,0.872468696861957,0.8886789481971343,0.8804992199687988,6351.0
feature_concat_seed44,macro avg,0.8950098586350601,0.8968875012468474,0.8958901010661691,15044.0
healnet2024_seed42,Non-bullying,0.9110726643598616,0.9086621419532958,0.9098658066002419,8693.0
healnet2024_seed42,Bullying,0.8754314402259178,0.8786017949929145,0.8770137524557957,6351.0
healnet2024_seed42,macro avg,0.8932520522928897,0.8936319684731051,0.8934397795280188,15044.0
healnet2024_seed43,Non-bullying,0.9157577164075191,0.9078568963533877,0.9117901912079025,8693.0
healnet2024_seed43,Bullying,0.8753501400560224,0.8856872933396316,0.8804883775534162,6351.0
healnet2024_seed43,macro avg,0.8955539282317708,0.8967720948465097,0.8961392843806594,15044.0
healnet2024_seed44,Non-bullying,0.9154620099456459,0.9106177384102151,0.913033448673587,8693.0
healnet2024_seed44,Bullying,0.8785368141316242,0.8849000157455519,0.8817069344210856,6351.0
healnet2024_seed44,macro avg,0.8969994120386351,0.8977588770778835,0.8973701915473363,15044.0
