sample_id,indobert,indobertweet,mbert,transcript,visual
s000609,0.1588256,0.24184732,0.4210756,0.17009404,0.5
s000610,0.062331032,0.30373183,0.39501747,0.25795195,0.5
s000611,0.06941547,0.2987982,0.41040176,0.19360435,0.5
s000612,0.042009056,0.110471144,0.30860683,0.112405084,0.5
s000613,0.87386215,0.66963685,0.5450133,0.64467263,0.5
s000614,0.9400236,0.76803803,0.6169935,0.83828294,0.5
s000615,0.08509904,0.103748634,0.2641685,0.091220066,0.5
s000616,0.43644187,0.55208695,0.42000473,0.477676,0.5
s000617,0.07250525,0.04903963,0.18155324,0.041930523,0.5
s000618,0.94386727,0.9020933,0.69368047,0.88161486,0.5
s000619,0.08299415,0.309128,0.40503684,0.2829881,0.5
s000620,0.0631349,0.08108212,0.11066323,0.05997644,0.5
s000621,0.31017178,0.70710135,0.49591455,0.5601323,0.5
s000622,0.42554557,0.62977463,0.40403706,0.47066057,0.5
s001221,0.08404061,0.35320508,0.19636348,0.17525558,0.5
s001222,0.06512755,0.06766981,0.23335676,0.0349467,0.5
s001223,0.7761143,0.6058573,0.42202815,0.44113123,0.5
s001224,0.95822614,0.94610083,0.5998368,0.9503189,0.5
s001225,0.08449275,0.16817278,0.5784482,0.1201288,0.5
s001226,0.5419846,0.22575782,0.505924,0.18359363,0.5
s001227,0.9308365,0.5632578,0.58593065,0.6761924,0.5
s001228,0.048676573,0.051367506,0.23510839,0.03986249,0.5
s001229,0.22575782,0.29961726,0.5643986,0.351645,0.5
s001230,0.112600096,0.25720498,0.3473157,0.22541659,0.5
s001231,0.14270912,0.742048,0.52908087,0.7133318,0.5
s001232,0.07329728,0.10302442,0.7309625,0.08803312,0.5
s001233,0.17681369,0.12043882,0.14977993,0.15027806,0.5
s001234,0.9687381,0.93195957,0.85342485,0.9382373,0.5
s001235,0.674265,0.33263552,0.5113125,0.47883347,0.5
s001236,0.9313377,0.89199936,0.9078038,0.89478946,0.5
s001237,0.07329728,0.30673468,0.27923846,0.26626188,0.5
