sample_id,indobert,indobertweet,mbert,transcript,visual
s000183,0.7866228,0.63193506,0.38341042,0.3443332,0.5
s000184,0.7525585,0.34411275,0.33274388,0.2211824,0.5
s000185,0.8431217,0.61468315,0.5201155,0.39420095,0.5
s000186,0.03839402,0.083291925,0.21076629,0.042087726,0.5
s000187,0.4689122,0.4290705,0.37771282,0.37284765,0.5
s000188,0.938576,0.9027811,0.83196384,0.9046505,0.5
s000189,0.111627996,0.14743239,0.34147266,0.085403666,0.5
s000190,0.02732453,0.12400069,0.27289566,0.08479541,0.5
s000191,0.042009056,0.2073752,0.21983956,0.12538631,0.5
s000192,0.14780101,0.12918286,0.3330692,0.08977328,0.5
s000193,0.087252244,0.20561504,0.34820172,0.19375686,0.5
s000194,0.03711691,0.21125406,0.16184942,0.15291563,0.5
s000195,0.03527755,0.14596547,0.11104825,0.08882029,0.5
s000196,0.58604914,0.66551924,0.23057307,0.5791624,0.5
s000197,0.045015533,0.06418265,0.25219983,0.0349467,0.5
s000198,0.30694237,0.58640444,0.26038948,0.39163858,0.5
s000199,0.91022664,0.8373541,0.8264319,0.7999117,0.5
s000200,0.08035747,0.3267009,0.4613201,0.23704566,0.5
s000201,0.87779135,0.7552762,0.626924,0.6346565,0.5
s000202,0.045522004,0.13580412,0.2921912,0.053799648,0.5
s000203,0.32391453,0.7280721,0.58563447,0.63193506,0.5
s000204,0.0262553,0.09057447,0.25183168,0.057281975,0.5
s000205,0.70161086,0.89552265,0.55874836,0.81375694,0.5
s000206,0.068537496,0.29380956,0.28239405,0.1742697,0.5
s000207,0.49023563,0.33720353,0.42292166,0.16198196,0.5
s000208,0.023779986,0.05781161,0.1766716,0.030967517,0.5
s000209,0.12592275,0.122628234,0.26530904,0.062103126,0.5
s000210,0.12570794,0.6874202,0.20866229,0.6402986,0.5
s000211,0.63522243,0.53679854,0.43524128,0.47613817,0.5
s000212,0.87705624,0.55823666,0.64478445,0.67939144,0.5
s000213,0.06681232,0.23616375,0.35142234,0.11143445,0.5
s000214,0.92827886,0.7759446,0.73753643,0.6995624,0.5
s000215,0.10141132,0.33644006,0.17838266,0.32541335,0.5
s000216,0.9181873,0.6808786,0.73659015,0.80837,0.5
s000217,0.79310596,0.5532036,0.5125706,0.39443415,0.5
s000218,0.16572808,0.22815649,0.19482699,0.18728127,0.5
s000219,0.06108711,0.12863456,0.40403706,0.12095703,0.5
s000220,0.03442355,0.11777492,0.07504072,0.08225395,0.5
s000221,0.035948325,0.109134786,0.07906799,0.07864238,0.5
s000222,0.200871,0.38450763,0.26999873,0.14718705,0.5
s000223,0.5476153,0.18907149,0.3053865,0.21452682,0.5
s000224,0.3628563,0.4225642,0.56175584,0.45974305,0.5
s000225,0.68352515,0.84606963,0.59684443,0.7298087,0.5
s000226,0.4816214,0.71143085,0.34059486,0.7577944,0.5
s000227,0.54210585,0.83359575,0.6984323,0.7854732,0.5
s000228,0.04023794,0.11085559,0.49214238,0.13741668,0.5
s000229,0.9203613,0.8330532,0.29057807,0.80271024,0.5
s000230,0.8784186,0.7999117,0.3457677,0.7316342,0.5
s000231,0.89218736,0.75976056,0.5688949,0.7867867,0.5
s000232,0.2196721,0.30663085,0.3235938,0.3229529,0.5
s000233,0.73885757,0.55335444,0.63906056,0.60159355,0.5
s000234,0.616705,0.3911152,0.51626015,0.18757874,0.5
s000235,0.8547634,0.70426184,0.31310463,0.50384706,0.5
s000236,0.024940254,0.12126887,0.16803622,0.054198723,0.5
s000237,0.03442355,0.08850466,0.15960999,0.045692034,0.5
s000238,0.05033063,0.15002881,0.19406214,0.12973315,0.5
s000239,0.11221038,0.253861,0.3747907,0.21076629,0.5
s000240,0.45816684,0.5325467,0.38462317,0.4967824,0.5
s000241,0.41845924,0.6354487,0.5604632,0.5842118,0.5
s000242,0.9658352,0.915356,0.8344069,0.8768455,0.5
s000243,0.17953056,0.19620942,0.16291204,0.23005375,0.5
s000244,0.5119301,0.39600974,0.62033415,0.34775856,0.5
s000245,0.64846635,0.35779187,0.36229208,0.30715016,0.5
s000246,0.048586205,0.029929748,0.1390453,0.042562727,0.5
s000247,0.04023794,0.14755517,0.1852092,0.0631349,0.5
s000248,0.03149938,0.06198946,0.17953056,0.02769026,0.5
s000249,0.91398406,0.58646363,0.7604728,0.6152612,0.5
s000250,0.6263527,0.58207536,0.56139517,0.33133605,0.5
s000251,0.9213576,0.76977324,0.5439839,0.68510735,0.5
s000252,0.8456877,0.5582969,0.46626836,0.24006125,0.5
s000253,0.041695766,0.0894546,0.5090475,0.05291181,0.5
s000254,0.055412795,0.16721867,0.31721473,0.12023206,0.5
s000255,0.8711464,0.9026096,0.7232117,0.88483775,0.5
s000256,0.92775697,0.5708697,0.3227394,0.4276357,0.5
s000257,0.33785862,0.41335875,0.24184732,0.32177958,0.5
s000258,0.07423137,0.12400069,0.102844074,0.13892841,0.5
s000259,0.65201986,0.7100255,0.42530683,0.6355618,0.5
s000768,0.10338596,0.42554557,0.18922126,0.3011565,0.5
s000769,0.030214584,0.054098696,0.13262685,0.03339982,0.5
s000770,0.09534945,0.12678517,0.11221038,0.06198946,0.5
s000771,0.048586205,0.12962292,0.2033909,0.081959546,0.5
s000772,0.107812636,0.29502675,0.32713068,0.16079244,0.5
s000773,0.032100707,0.13963085,0.18907149,0.043528143,0.5
s000774,0.049405243,0.18432662,0.4029206,0.14199378,0.5
s000775,0.07906799,0.07864238,0.2560871,0.050988145,0.5
s000776,0.9514138,0.9395816,0.78199726,0.88543355,0.5
s000777,0.07864238,0.09057447,0.1991522,0.08509904,0.5
s000778,0.057176597,0.068412915,0.19528697,0.047869004,0.5
s000779,0.36761075,0.39747056,0.45668235,0.40433106,0.5
s000780,0.08586246,0.3011565,0.3555511,0.20995522,0.5
s000781,0.9383503,0.7841538,0.71472764,0.8429925,0.5
s000782,0.13488984,0.12885363,0.5290049,0.11736965,0.5
s000783,0.12064587,0.53786075,0.29451922,0.35599875,0.5
s000784,0.06730107,0.1666754,0.2005577,0.0946777,0.5
s000785,0.029929748,0.06916356,0.1266771,0.053107906,0.5
s000786,0.4719381,0.477006,0.4152545,0.33350322,0.5
s000787,0.03890198,0.10393038,0.17469169,0.09912086,0.5
s000788,0.2894721,0.48839778,0.80332816,0.4445045,0.5
s000789,0.042245496,0.22151907,0.3445537,0.19253936,0.5
s000790,0.046378203,0.058131598,0.0973904,0.041539967,0.5
s000791,0.57045096,0.42190906,0.60888475,0.49315685,0.5
s000792,0.039416388,0.11736965,0.2073752,0.0647717,0.5
s000793,0.23405631,0.42871165,0.5463751,0.45105445,0.5
s000794,0.9655115,0.7634837,0.6654106,0.7921428,0.5
s000795,0.024469668,0.076683804,0.13998318,0.049130786,0.5
s000796,0.08093671,0.21667379,0.21027938,0.15752527,0.5
s000797,0.078078166,0.081959546,0.07356305,0.05975658,0.5
s000798,0.06512755,0.09894659,0.28656837,0.08122776,0.5
s000799,0.34004676,0.27503237,0.4790467,0.3106944,0.5
s000800,0.03882902,0.032100707,0.12074952,0.028870905,0.5
s000801,0.29118237,0.58266914,0.51691556,0.49452233,0.5
s000802,0.037892427,0.035144847,0.1284158,0.038610928,0.5
s000803,0.07185127,0.06108711,0.16198196,0.025908021,0.5
s000804,0.03601607,0.04426588,0.18257122,0.034358688,0.5
s000805,0.025130946,0.041695766,0.08344117,0.0262553,0.5
s000806,0.044847902,0.09285216,0.2109288,0.0751764,0.5
s000807,0.034100424,0.05350215,0.1501534,0.03149938,0.5
s000808,0.034684174,0.110471144,0.25423113,0.059866417,0.5
s000809,0.038466193,0.1041124,0.23458196,0.045352582,0.5
s000810,0.3330692,0.65190905,0.19238758,0.68710536,0.5
s000811,0.036977552,0.1161611,0.20979328,0.090253234,0.5
s000812,0.04001227,0.046205744,0.32637876,0.030792167,0.5
s000813,0.52862465,0.5127383,0.5631377,0.31299964,0.5
s000814,0.08819004,0.20228557,0.4857217,0.14953138,0.5
s000815,0.091220066,0.17441027,0.11797801,0.12357699,0.5
s000816,0.05749328,0.09807932,0.13454832,0.089136936,0.5
s000817,0.07626997,0.17539679,0.1201288,0.076683804,0.5
s000818,0.044764314,0.23231015,0.15947904,0.068412915,0.5
s000819,0.13580412,0.28477487,0.11066323,0.13869494,0.5
s000820,0.027376488,0.09619517,0.20465964,0.0751764,0.5
s000821,0.9158089,0.8749346,0.37433314,0.88759494,0.5
s000822,0.08404061,0.2842779,0.5144689,0.23353152,0.5
s000823,0.77881753,0.7053793,0.31700322,0.73753643,0.5
s000824,0.09551806,0.2441827,0.35031027,0.16844618,0.5
s000825,0.029535338,0.14378779,0.12023206,0.069541745,0.5
s000826,0.069921836,0.22084616,0.14854057,0.13603349,0.5
s000827,0.05281402,0.11899801,0.20165598,0.08108212,0.5
s000828,0.1112412,0.14977993,0.56553864,0.12743528,0.5
s000829,0.054499872,0.094176665,0.23669262,0.06766981,0.5
s000830,0.32156652,0.37410444,0.5119835,0.25128007,0.5
s000831,0.09501305,0.20481864,0.3752485,0.14258969,0.5
s000832,0.05749328,0.33862367,0.26284182,0.22815649,0.5
s000833,0.27757087,0.58918464,0.29168653,0.53127015,0.5
s000834,0.021246698,0.068040416,0.100878626,0.045692034,0.5
s000835,0.3926279,0.70942193,0.45184046,0.5902479,0.5
s000836,0.9451974,0.20641373,0.22661245,0.11027937,0.5
s000837,0.08021325,0.20024471,0.5350377,0.11736965,0.5
s000838,0.21125406,0.45813656,0.34202188,0.3190153,0.5
s000839,0.034358688,0.112405084,0.24131057,0.059646938,0.5
s000840,0.19027223,0.34114337,0.50694996,0.19775414,0.5
s000841,0.12033541,0.3634209,0.26683465,0.18447348,0.5
s000842,0.20866229,0.6591858,0.6064402,0.49491137,0.5
s000843,0.058560826,0.083740406,0.10356715,0.03327394,0.5
s000844,0.071332,0.14560062,0.2991052,0.07696084,0.5
s000845,0.47186202,0.7446563,0.4726835,0.76803803,0.5
s000846,0.15178062,0.46499267,0.22712629,0.34942174,0.5
s000847,0.27532452,0.22575782,0.19868535,0.17384852,0.5
s000848,0.023375316,0.19163004,0.14282866,0.18082884,0.5
s000849,0.8610715,0.7044652,0.75437254,0.67522943,0.5
s000850,0.9114953,0.85318035,0.5573334,0.90448195,0.5
s000851,0.0743657,0.15127839,0.16132024,0.17133833,0.5
s000852,0.04426588,0.09894659,0.15405758,0.075858176,0.5
s000853,0.052134257,0.08834723,0.10743748,0.060086653,0.5
s000854,0.02931223,0.020293485,0.3238076,0.025371311,0.5
s000855,0.058884695,0.08740791,0.33545968,0.060640547,0.5
s000856,0.1133831,0.30290633,0.26020142,0.31774372,0.5
s000857,0.8255897,0.63996106,0.5463146,0.67854,0.5
s000858,0.8040984,0.82090056,0.43602154,0.8362874,0.5
s000859,0.8414352,0.7977145,0.44161278,0.8384153,0.5
s000860,0.05281402,0.17795368,0.17119971,0.12549344,0.5
s000861,0.55425936,0.40703875,0.34875605,0.33241874,0.5
s000862,0.06052939,0.08555634,0.09351231,0.033652965,0.5
s000863,0.10302442,0.18300885,0.21469143,0.2260994,0.5
s000864,0.055823144,0.085709274,0.3572311,0.056756895,0.5
s000865,0.039342504,0.07737811,0.2531218,0.07654563,0.5
s000866,0.03926875,0.12743528,0.16968086,0.048586205,0.5
s000867,0.04185213,0.10951516,0.13398075,0.06359858,0.5
s000868,0.6105696,0.19482699,0.23722231,0.12023206,0.5
s000869,0.05051767,0.083890386,0.1309508,0.046638038,0.5
s000870,0.049405243,0.042962473,0.116965584,0.0269635,0.5
s000871,0.03149938,0.06108711,0.16995624,0.033462934,0.5
s000872,0.091058284,0.25349122,0.3501991,0.23810701,0.5
s000873,0.05834584,0.1284158,0.315947,0.18257122,0.5
s000874,0.023644341,0.061875988,0.100701615,0.071073666,0.5
s000875,0.06500873,0.071073666,0.21733753,0.07544843,0.5
s000876,0.28378138,0.22988081,0.15393034,0.25701842,0.5
s000877,0.08586246,0.07992552,0.23283306,0.053601142,0.5
s000878,0.03155902,0.115960725,0.19452077,0.06418265,0.5
s000879,0.035948325,0.063831605,0.12220858,0.060863446,0.5
