sample_id,nominal_audio,nominal_video,audio_effective,file_exists,visual_effective,decoded_frames,reason,media_sha256
s000001,False,False,False,False,False,0,file_missing,
s000002,False,False,False,False,False,0,file_missing,
s000003,False,False,False,False,False,0,file_missing,
s000004,False,False,False,False,False,0,file_missing,
s000005,False,False,False,False,False,0,file_missing,
s000006,False,False,False,False,False,0,file_missing,
s000007,False,False,False,False,False,0,file_missing,
s000008,False,False,False,False,False,0,file_missing,
s000009,False,False,False,False,False,0,file_missing,
s000010,False,False,False,False,False,0,file_missing,
s000011,False,False,False,False,False,0,file_missing,
s000012,False,False,False,False,False,0,file_missing,
s000013,False,False,False,False,False,0,file_missing,
s000014,False,False,False,False,False,0,file_missing,
s000015,False,False,False,False,False,0,file_missing,
s000016,False,False,False,False,False,0,file_missing,
s000017,False,False,False,False,False,0,file_missing,
s000018,False,False,False,False,False,0,file_missing,
s000019,False,False,False,False,False,0,file_missing,
s000020,False,False,False,False,False,0,file_missing,
s000021,False,False,False,False,False,0,file_missing,
s000022,False,False,False,False,False,0,file_missing,
s000023,False,False,False,False,False,0,file_missing,
s000024,False,False,False,False,False,0,file_missing,
s000025,False,False,False,False,False,0,file_missing,
s000026,False,False,False,False,False,0,file_missing,
s000027,False,False,False,False,False,0,file_missing,
s000028,False,False,False,False,False,0,file_missing,
s000029,False,False,False,False,False,0,file_missing,
s000030,False,False,False,False,False,0,file_missing,
s000031,False,False,False,False,False,0,file_missing,
s000032,False,False,False,False,False,0,file_missing,
s000033,False,False,False,False,False,0,file_missing,
s000034,False,False,False,False,False,0,file_missing,
s000035,False,False,False,False,False,0,file_missing,
s000036,False,False,False,False,False,0,file_missing,
s000037,False,False,False,False,False,0,file_missing,
s000038,False,False,False,False,False,0,file_missing,
s000039,False,False,False,False,False,0,file_missing,
s000040,False,False,False,False,False,0,file_missing,
s000041,False,False,False,False,False,0,file_missing,
s000042,False,False,False,False,False,0,file_missing,
s000043,False,False,False,False,False,0,file_missing,
s000044,False,False,False,False,False,0,file_missing,
s000045,False,False,False,False,False,0,file_missing,
s000046,False,False,False,False,False,0,file_missing,
s000047,False,False,False,False,False,0,file_missing,
s000048,False,False,False,False,False,0,file_missing,
s000049,False,False,False,False,False,0,file_missing,
