experiment,role,sample_id,group_id
fold_1,fit,s000001,g000000
fold_1,fit,s000002,g000000
fold_1,fit,s000003,g000000
fold_1,fit,s000004,g000000
fold_1,fit,s000005,g000000
fold_1,fit,s000006,g000000
fold_1,fit,s000007,g000000
fold_1,fit,s000008,g000000
fold_1,fit,s000009,g000000
fold_1,fit,s000010,g000000
fold_1,fit,s000011,g000000
fold_1,fit,s000012,g000000
fold_1,fit,s000013,g000000
fold_1,fit,s000014,g000000
fold_1,fit,s000015,g000000
fold_1,fit,s000016,g000000
fold_1,fit,s000017,g000000
fold_1,fit,s000018,g000000
fold_1,fit,s000019,g000000
fold_1,fit,s000020,g000000
fold_1,fit,s000021,g000000
fold_1,fit,s000022,g000000
fold_1,fit,s000023,g000000
fold_1,fit,s000024,g000000
fold_1,fit,s000025,g000000
fold_1,fit,s000026,g000000
fold_1,fit,s000027,g000000
fold_1,fit,s000028,g000000
fold_1,fit,s000029,g000000
fold_1,fit,s000030,g000000
fold_1,fit,s000031,g000000
fold_1,fit,s000032,g000000
fold_1,fit,s000033,g000000
fold_1,fit,s000034,g000000
fold_1,fit,s000035,g000000
fold_1,fit,s000036,g000000
fold_1,fit,s000037,g000000
fold_1,fit,s000038,g000000
fold_1,fit,s000039,g000000
fold_1,fit,s000040,g000000
fold_1,fit,s000041,g000000
fold_1,fit,s000042,g000000
fold_1,fit,s000043,g000000
fold_1,fit,s000044,g000000
fold_1,fit,s000045,g000000
fold_1,fit,s000046,g000000
fold_1,fit,s000047,g000000
fold_1,fit,s000048,g000000
fold_1,fit,s000049,g000000
fold_1,fit,s000050,g000000
fold_1,fit,s000051,g000000
fold_1,fit,s000052,g000000
fold_1,fit,s000053,g000000
fold_1,fit,s000054,g000000
fold_1,fit,s000055,g000000
fold_1,fit,s000056,g000000
fold_1,fit,s000057,g000000
fold_1,fit,s000058,g000000
fold_1,fit,s000059,g000000
fold_1,fit,s000060,g000000
fold_1,fit,s000061,g000000
fold_1,fit,s000062,g000000
fold_1,fit,s000063,g000000
fold_1,fit,s000064,g000000
fold_1,fit,s000065,g000000
fold_1,fit,s000066,g000000
fold_1,fit,s000067,g000000
fold_1,fit,s000068,g000000
